Ссылка;Адрес;Год ввода в эксплуатацию;Детская площадка;Дом признан аварийным;Дополнительная информация;Количество жилых помещений;Класс энергетической эффективности;Количество лифтов;Количество подъездов;Лифты;Наибольшее количество этажей;Наименьшее количество этажей;Количество нежилых помещений;Площадь жилых помещений м2;Площадь нежилых помещений м2;Площадь помещений общего имущества м2;Площадь зем. участка общего имущества м2;Площадь парковки м2;Серия, тип постройки здания;Спортивная площадка;Формирование фонда кап. ремонта;Тип дома;Оборудование;Количество мусоропроводов, ед.;Несущие стены;Площадь подвала, кв.м;Крыша;Мусоропровод;Перекрытия;Фасад;Фундамент;Количество вводов в дом, ед.;Объем выгребных ям, куб. м.;Вентиляция;Водоотведение;Система водостоков;Газоснабжение;Горячее водоснабжение;Система пожаротушения;Теплоснабжение;Холодное водоснабжение;Электроснабжение
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/678847;г. Трехгорный-1 ул. Дружбы 4;1957;Не имеется;Нет;-;8;Не присвоен;-;1;-;2;2;2;326.16;210.84;687.14;3740.00;0.00;1-202-1;Не имеется;Не определен;Многоквартирный дом;-;-;Каменные, кирпичные;0.00;Скатная;Отсутствует;Деревянные;Окрашенный;Ленточный;1;0.00;Вытяжная вентиляция;Центральное;Внутренние водостоки;Центральное;Отсутствует;Пожарные гидранты;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/488484;ул. 250-летия Челябинска 25;1992;Есть;Нет;Отсутствует;157;B;4;4;пассажирские - 4, ;10;10;1;7666.00;90.60;1887.10;1138.50;0.00;97;Не имеется;На счете регионального оператора;Многоквартирный дом;-;4;Панельные;766.50;Плоская;На лестничной клетке;Железобетонные;Иной;Свайный;1;0.00;Приточно-вытяжная вентиляция;Центральное;Внутренние водостоки;Отсутствует;Центральное (закрытая система);Отсутствует;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/533389;п. Аэропорт 4;1960;Не имеется;Нет;-;18;Не присвоен;-;3;-;2;2;-;979.30;0.00;85.30;703.00;0.00;несерийный;Не имеется;На счете регионального оператора;Многоквартирный дом;нет;-;Блочные;0.00;Скатная;Отсутствует;Деревянные;Соответствует материалу стен;Ленточный;1;0.00;Приточно-вытяжная вентиляция;Центральное;Наружные водостоки;Центральное;Центральное (открытая система);Отсутствует;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/533391;п. Аэропорт 6;1961;Не имеется;Нет;-;16;Не присвоен;-;2;-;2;2;-;618.10;0.00;405.50;2372.00;0.00;несерийный;Не имеется;На счете регионального оператора;Многоквартирный дом;нет;-;Блочные;333.10;Скатная;Отсутствует;Железобетонные;Соответствует материалу стен;Ленточный;1;0.00;Приточно-вытяжная вентиляция;Центральное;Наружные водостоки;Центральное;Центральное (открытая система);Отсутствует;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/533392;п. Аэропорт 7;1961;Не имеется;Нет;-;16;Не присвоен;-;2;-;2;2;-;629.80;0.00;109.30;3844.00;0.00;несерийный;Не имеется;На счете регионального оператора;Многоквартирный дом;нет;-;Блочные;49.20;Плоская;Отсутствует;Железобетонные;Соответствует материалу стен;Ленточный;1;0.00;Приточно-вытяжная вентиляция;Центральное;Внутренние водостоки;Центральное;Центральное (открытая система);Отсутствует;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/533393;п. Аэропорт 8;1961;Не имеется;Нет;-;16;Не присвоен;-;2;-;2;2;-;635.30;0.00;227.00;4134.00;0.00;несерийный;Не имеется;На счете регионального оператора;Многоквартирный дом;нет;-;Блочные;153.40;Плоская;Отсутствует;Железобетонные;Соответствует материалу стен;Ленточный;1;0.00;Приточно-вытяжная вентиляция;Центральное;Внутренние водостоки;Центральное;Центральное (открытая система);Отсутствует;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/533394;п. Аэропорт 9;1961;Не имеется;Нет;-;16;Не присвоен;-;2;-;2;2;-;636.70;0.00;222.00;2090.00;0.00;несерийный;Не имеется;На счете регионального оператора;Многоквартирный дом;нет;-;Блочные;147.30;Плоская;Отсутствует;Железобетонные;Соответствует материалу стен;Ленточный;1;0.00;Приточно-вытяжная вентиляция;Центральное;Внутренние водостоки;Центральное;Центральное (открытая система);Отсутствует;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/533397;п. Аэропорт 12;1961;Не имеется;Нет;-;48;Не присвоен;-;3;-;4;4;-;2043.10;0.00;218.60;9320.00;0.00;несерийный;Не имеется;На счете регионального оператора;Многоквартирный дом;нет;-;Блочные;54.20;Скатная;Отсутствует;Железобетонные;Соответствует материалу стен;Ленточный;1;0.00;Приточно-вытяжная вентиляция;Центральное;Наружные водостоки;Центральное;Центральное (открытая система);Отсутствует;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/533400;п. Аэропорт 15;1974;Не имеется;Нет;-;13;Не присвоен;-;2;-;5;5;-;1881.90;15.00;261.30;6193.00;0.00;1-447С;Не имеется;На счете регионального оператора;Многоквартирный дом;нет;-;Каменные, кирпичные;0.00;Плоская;Отсутствует;Железобетонные;Соответствует материалу стен;Ленточный;1;0.00;Приточно-вытяжная вентиляция;Центральное;Внутренние водостоки;Центральное;Центральное (открытая система);Отсутствует;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/533401;п. Аэропорт 16;1981;Не имеется;Нет;-;60;Не присвоен;-;4;-;5;5;-;3224.70;0.00;968.40;7159.00;0.00;ТКБУ-1;Не имеется;На счете регионального оператора;Многоквартирный дом;нет;-;Панельные;595.80;Плоская;Отсутствует;Железобетонные;Соответствует материалу стен;Ленточный;1;0.00;Приточно-вытяжная вентиляция;Центральное;Внутренние водостоки;Центральное;Центральное (открытая система);Отсутствует;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/533402;п. Аэропорт 17;1983;Не имеется;Нет;-;60;Не присвоен;-;4;-;5;5;-;3252.20;0.00;883.60;11587.00;0.00;ТКБУ-1;Не имеется;На счете регионального оператора;Многоквартирный дом;нет;-;Панельные;559.30;Плоская;Отсутствует;Железобетонные;Соответствует материалу стен;Ленточный;1;0.00;Приточно-вытяжная вентиляция;Центральное;Внутренние водостоки;Центральное;Центральное (открытая система);Отсутствует;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/533404;п. Аэропорт 20;1988;Есть;Нет;-;56;Не присвоен;-;4;-;5;5;-;2995.90;280.30;722.70;5464.00;0.00;ТКБУ-1;Не имеется;На счете регионального оператора;Многоквартирный дом;нет;-;Панельные;406.00;Плоская;Отсутствует;Железобетонные;Соответствует материалу стен;Ленточный;1;0.00;Приточно-вытяжная вентиляция;Центральное;Внутренние водостоки;Центральное;Центральное (открытая система);Отсутствует;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/533405;п. Аэропорт 24;1994;Не имеется;Нет;-;60;Не присвоен;-;4;-;5;5;-;3272.50;0.00;1026.00;5412.00;0.00;ТКБУ-1;Не имеется;На счете регионального оператора;Многоквартирный дом;нет;-;Панельные;694.30;Плоская;Отсутствует;Железобетонные;Соответствует материалу стен;Ленточный;1;0.00;Приточно-вытяжная вентиляция;Центральное;Внутренние водостоки;Центральное;Центральное (открытая система);Отсутствует;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/533542;ул. 60-летия Октября 6;1959;Не имеется;Нет;-;75;Не присвоен;-;4;-;5;5;-;3062.20;147.80;916.00;5776.00;0.00;ТКБУ-1;Не имеется;На счете регионального оператора;Многоквартирный дом;нет;-;Блочные;666.20;Скатная;Отсутствует;Железобетонные;Соответствует материалу стен;Ленточный;1;0.00;Приточно-вытяжная вентиляция;Центральное;Наружные водостоки;Центральное;Отсутствует;Отсутствует;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/975465;пер. Брестский 2-й 2;1958;-;Нет;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;Жилой дом блокированной застройки;-;-;Иные;-;-;-;Деревянные;-;-;-;-;-;-;-;-;-;-;-;-;-
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/982971;ул. 8 Марта (Новосинеглазовский) 8;1958;Не имеется;Нет;Отсутствует;12;Не присвоен;-;2;-;2;2;-;745.20;212.20;212.20;0.00;0.00;Кирпичный;Не имеется;На счете регионального оператора;Многоквартирный дом;Отсутствует;-;Каменные, кирпичные;185.44;Скатная;Отсутствует;Деревянные;Оштукатуренный;Ленточный;1;0.00;Отсутствует;Центральное;Отсутствует;Центральное;Центральное (закрытая система);Отсутствует;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/535338;ул. Челябэнерго 13;-;-;Нет;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/540753;ст. Чурилово 2108 км 1;1957;-;Нет;-;-;-;-;1;-;1;-;-;106.80;0.00;-;-;-;-;-;-;Жилой дом блокированной застройки;-;-;Иные;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/540760;ст. Чурилово 2108 км 10;2013;-;Нет;-;-;-;-;1;-;1;-;-;232.40;0.00;-;-;-;-;-;-;Жилой дом блокированной застройки;-;-;Деревянные;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/540754;ст. Чурилово 2108 км 2;2013;-;Нет;-;-;-;-;1;-;1;-;-;188.40;0.00;-;-;-;-;-;-;Жилой дом блокированной застройки;-;-;Иные;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/540761;ст. Чурилово 2108 км 26;1956;-;Нет;-;-;-;-;1;-;1;-;-;196.60;0.00;-;-;-;-;-;-;Жилой дом блокированной застройки;-;-;Деревянные;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/540762;ст. Чурилово 2108 км 28;-;-;Нет;-;-;-;-;1;-;1;-;-;172.60;0.00;-;-;-;-;-;-;Жилой дом блокированной застройки;-;-;Деревянные;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/540755;ст. Чурилово 2108 км 3;2013;-;Нет;-;-;-;-;1;-;1;-;-;99.20;0.00;-;-;-;-;-;-;Жилой дом блокированной застройки;-;-;Иные;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/540756;ст. Чурилово 2108 км 5;1920;-;Нет;-;-;-;-;1;-;1;-;-;231.10;0.00;-;-;-;-;-;-;Жилой дом блокированной застройки;-;-;Деревянные;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/540757;ст. Чурилово 2108 км 7;1940;-;Нет;-;-;-;-;1;-;1;-;-;208.10;0.00;-;-;-;-;-;-;Жилой дом блокированной застройки;-;-;Деревянные;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/540758;ст. Чурилово 2108 км 8;2013;-;Нет;-;-;-;-;1;-;1;-;-;198.50;0.00;-;-;-;-;-;-;Жилой дом блокированной застройки;-;-;Деревянные;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/540752;ст. Чурилово 5;2013;Не имеется;Нет;Не имеется;70;Не присвоен;-;1;-;5;5;-;2390.80;0.00;0.00;2083.00;0.00;кирпичный;Не имеется;На счете регионального оператора;Многоквартирный дом;Не имеется;-;Каменные, кирпичные;0.00;Плоская;Отсутствует;Железобетонные;Соответствует материалу стен;Ленточный;1;0.00;Приточно-вытяжная вентиляция;Центральное;Внутренние водостоки;Отсутствует;Автономная котельная (крышная, встроенно-пристроенная);Отсутствует;Автономная котельная (крышная, встроенно-пристроенная);Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/540695;ул. 2 Стройгородок 2;1954;Не имеется;Нет;Не имеется;12;Не присвоен;-;2;-;2;2;-;732.60;0.00;87.10;2460.70;0.00;-;Не имеется;На счете регионального оператора;Многоквартирный дом;Не имеется;-;Иные;0.00;Скатная;Отсутствует;Деревянные;Оштукатуренный;Ленточный;1;0.00;Приточно-вытяжная вентиляция;Центральное;Отсутствует;Отсутствует;Центральное (закрытая система);Отсутствует;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/540751;ст. Чурилово 3;1980;Не имеется;Нет;Не имеется;38;Не присвоен;-;1;-;3;3;-;892.44;0.00;0.00;-;-;кирпичный;Есть;На счете регионального оператора;Многоквартирный дом;не имеется/ не имеется;-;Каменные, кирпичные;0.00;Плоская;Отсутствует;Железобетонные;Соответствует материалу стен;Ленточный;1;0.00;Приточно-вытяжная вентиляция;Центральное;Внутренние водостоки;Отсутствует;Автономная котельная (крышная, встроенно-пристроенная);Отсутствует;Автономная котельная (крышная, встроенно-пристроенная);Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/634169;ул. 40-летия Победы 4;1990;Не имеется;Нет;Не имеется;235;D;6;6;пассажирские - 6, ;10;10;3;10592.60;131.10;2715.50;0.00;0.00;97;Не имеется;На счете регионального оператора;Многоквартирный дом;Отсутствует;6;Панельные;1006.60;Плоская;На лестничной клетке;Железобетонные;Иной;Ленточный;2;0.00;Приточно-вытяжная вентиляция;Центральное;Внутренние водостоки;Отсутствует;Центральное (открытая система);Отсутствует;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/712089;п. Аэропорт 22;2004;-;Нет;-;90;-;-;5;-;6;1;-;4642.20;0.00;560.30;-;-;ж/бетонные панели;-;На специальном счете организации;Многоквартирный дом;-;-;-;-;Плоская;-;-;Окрашенный;-;1;0.00;Вытяжная вентиляция;Центральное;Внутренние водостоки;Отсутствует;Центральное (закрытая система);Отсутствует;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/225085;ул. Челябэнерго 2;1954;Не имеется;Нет;скрытая электропроводка, газовые баллоны, шиферная кровля;8;Не присвоен;-;2;-;2;2;-;384.00;0.00;45.90;0.00;0.00;блочный;Не имеется;Не определен;Многоквартирный дом;-;-;Блочные;0.00;Скатная;Отсутствует;Иные;Оштукатуренный;Иной;1;0.00;Приточно-вытяжная вентиляция;Центральное;Отсутствует;Автономное;Центральное (закрытая система);Отсутствует;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/225086;ул. Челябэнерго 3;1954;Не имеется;Нет;газовые баллоны, шиферная кровля;8;Не присвоен;-;2;-;2;2;-;330.80;0.00;58.00;0.00;0.00;кирпичный;Не имеется;На счете регионального оператора;Многоквартирный дом;-;-;Каменные, кирпичные;0.00;Скатная;Отсутствует;Железобетонные;Оштукатуренный;Ленточный;1;0.00;Приточно-вытяжная вентиляция;Центральное;Наружные водостоки;Автономное;Центральное (закрытая система);Отсутствует;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/225087;ул. Челябэнерго 4;1956;Не имеется;Нет;газовые баллоны;8;Не присвоен;-;2;-;2;2;-;329.30;0.00;45.60;0.00;0.00;кирпичный;Не имеется;Не определен;Многоквартирный дом;-;-;Каменные, кирпичные;0.00;Скатная;Отсутствует;Железобетонные;Оштукатуренный;Ленточный;1;0.00;Приточно-вытяжная вентиляция;Центральное;Наружные водостоки;Автономное;Центральное (закрытая система);Отсутствует;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/225088;ул. Челябэнерго 5;1956;Не имеется;Нет;газовые баллоны;8;Не присвоен;2;2;-;2;2;-;327.40;0.00;49.70;0.00;0.00;блочный;Не имеется;Не определен;Многоквартирный дом;-;-;Блочные;0.00;Скатная;Отсутствует;Железобетонные;Оштукатуренный;Ленточный;1;0.00;Приточно-вытяжная вентиляция;Центральное;Наружные водостоки;Автономное;Центральное (закрытая система);Отсутствует;Центральное;Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/225090;ул. Челябэнерго 14;1992;Не имеется;Нет;скрытая электропроводка, электроплиты, мягкая кровля;27;Не присвоен;-;3;-;3;3;-;1291.20;0.00;751.50;0.00;0.00;114-12-93/72;Не имеется;Не определен;Многоквартирный дом;плита;-;Каменные, кирпичные;612.00;Плоская;Отсутствует;Железобетонные;Соответствует материалу стен;Иной;1;0.00;Приточно-вытяжная вентиляция;Центральное;Отсутствует;Отсутствует;Центральное (закрытая система);Отсутствует;Автономная котельная (крышная, встроенно-пристроенная);Центральное;Центральное
http://dom.mingkh.ru/chelyabinskaya-oblast/chelyabinsk/225091;ул. Челябэнерго 15;1956;Не имеется;Нет;открытая электропроводка, газ, шиферная кровля;12;Не присвоен;2;2;-;2;2;-;405.60;0.00;67.20;0.00;0.00;блочный;Не имеется;На счете регионального оператора;Многоквартирный дом;плиты;-;Блочные;0.00;Скатная;Отсутствует;Деревянные;Оштукатуренный;Ленточный;1;0.00;Приточно-вытяжная вентиляция;Центральное;Наружные водостоки;Центральное;Центральное (закрытая система);Отсутствует;Центральное;Центральное;Центральное
